,sentence,label
10829,"Fast checkout process, user-friendly interface.",0
10830,"User-friendly website, easy to navigate and order., not satisfied.",0
10831,"User-friendly website, easy to navigate and order.",0
10832,Product did not match the description.,0
10833,"Long delivery time, but worth the wait.",1
10834,"The package was lost in transit., not satisfied.",1
10835,"Product works well, would buy again., not satisfied.",0
10836,"Fantastic deal, very happy with my purchase., not satisfied.",0
10837,"The package was lost in transit., definitely recommend.",0
10838,"Order arrived late, but the product is good., will shop here again.",1
10839,The size is not as described.,0
10840,"User-friendly website, easy to navigate and order.",0
10841,"Poor customer service, will not buy again., will shop here again.",1
10842,"Fantastic deal, very happy with my purchase.",0
10843,"Had issues with the payment gateway., will shop here again.",1
10844,"Fantastic deal, very happy with my purchase., not satisfied.",0
10845,"Product works well, would buy again., definitely recommend.",1
10846,"The package was lost in transit., will shop here again.",0
10847,"The color is slightly different from the pictures., will shop here again.",1
10848,"Great product, fast shipping!, not satisfied.",0
10849,"Product exceeded my expectations., definitely recommend.",0
10850,"Fast checkout process, user-friendly interface.",1
10851,"Fantastic deal, very happy with my purchase., not satisfied.",1
10852,"Excellent quality, highly recommend this seller., not satisfied.",0
10853,"Not worth the price., not satisfied.",1
10854,"User-friendly website, easy to navigate and order., not satisfied.",0
10855,"Product did not match the description., not satisfied.",0
10856,"Long delivery time, but worth the wait., definitely recommend.",1
10857,"Received a different item than what I ordered., will shop here again.",1
10858,"Product exceeded my expectations., definitely recommend.",0
10859,"Fantastic deal, very happy with my purchase., definitely recommend.",1
10860,"Not worth the price., definitely recommend.",1
10861,"Excellent value for money., not satisfied.",0
10862,"Product works well, would buy again., will shop here again.",1
10863,"The size is not as described., definitely recommend.",1
10864,"Long delivery time, but worth the wait.",1
10865,"Received a different item than what I ordered., not satisfied.",0
10866,"The package was lost in transit., definitely recommend.",1
10867,"Product works well, would buy again., definitely recommend.",0
10868,"The package was lost in transit., will shop here again.",0
10869,"The size is not as described., not satisfied.",0
10870,Had issues with the payment gateway.,0
10871,"Not worth the price., not satisfied.",1
10872,"Received a damaged item, but got a full refund., will shop here again.",0
10873,"Fantastic deal, very happy with my purchase., will shop here again.",0
10874,"The package was lost in transit., not satisfied.",1
10875,"Very responsive customer support., not satisfied.",0
10876,"Excellent quality, highly recommend this seller., will shop here again.",0
10877,"Received a different item than what I ordered., definitely recommend.",1
10878,"Product works well, would buy again., definitely recommend.",1
10879,"Fast checkout process, user-friendly interface., definitely recommend.",0
10880,"Product did not match the description., not satisfied.",0
10881,"Had issues with the payment gateway., not satisfied.",1
10882,"Received a different item than what I ordered., not satisfied.",0
10883,"Had issues with the payment gateway., not satisfied.",0
10884,"User-friendly website, easy to navigate and order., not satisfied.",0
10885,"Not worth the price., definitely recommend.",0
10886,"Not worth the price., will shop here again.",0
10887,"Fast checkout process, user-friendly interface., definitely recommend.",0
10888,"Very responsive customer support., definitely recommend.",0
10889,"Product did not match the description., not satisfied.",1
10890,"Product exceeded my expectations., definitely recommend.",0
10891,"Received a different item than what I ordered., will shop here again.",1
10892,"Not worth the price., not satisfied.",1
10893,"Order arrived late, but the product is good., not satisfied.",1
10894,The package was lost in transit.,1
10895,"The package was lost in transit., not satisfied.",1
10896,"User-friendly website, easy to navigate and order., will shop here again.",1
10897,"Had issues with the payment gateway., definitely recommend.",1
10898,"Received a damaged item, but got a full refund., definitely recommend.",1
10899,"Received a different item than what I ordered., definitely recommend.",0
10900,"Fast checkout process, user-friendly interface., not satisfied.",1
10901,Had issues with the payment gateway.,1
10902,"Fantastic deal, very happy with my purchase.",0
10903,"Excellent value for money., will shop here again.",1
10904,"Received a damaged item, but got a full refund., not satisfied.",1
10905,The color is slightly different from the pictures.,0
10906,"Received a different item than what I ordered., not satisfied.",1
10907,"Poor customer service, will not buy again., definitely recommend.",0
10908,"Long delivery time, but worth the wait., definitely recommend.",0
10909,"User-friendly website, easy to navigate and order., not satisfied.",1
10910,"The size is not as described., not satisfied.",1
10911,"Product works well, would buy again., will shop here again.",0
10912,Very responsive customer support.,1
10913,"The package was lost in transit., definitely recommend.",0
10914,"Product did not match the description., will shop here again.",0
10915,"Long delivery time, but worth the wait.",1
10916,"Excellent quality, highly recommend this seller., definitely recommend.",0
10917,Had issues with the payment gateway.,1
10918,"Order arrived late, but the product is good., definitely recommend.",1
10919,"Great product, fast shipping!, will shop here again.",1
10920,Not worth the price.,0
10921,"Excellent value for money., definitely recommend.",0
10922,"Very responsive customer support., definitely recommend.",0
10923,"The color is slightly different from the pictures., will shop here again.",0
10924,"Excellent value for money., will shop here again.",1
10925,Product exceeded my expectations.,0
10926,Had issues with the payment gateway.,0
10927,"The color is slightly different from the pictures., will shop here again.",1
10928,"Order arrived late, but the product is good., not satisfied.",0
10929,"Product works well, would buy again., not satisfied.",0
10930,"Received a damaged item, but got a full refund., definitely recommend.",0
10931,Had issues with the payment gateway.,1
10932,"The size is not as described., not satisfied.",1
10933,"The size is not as described., not satisfied.",0
10934,"The size is not as described., definitely recommend.",1
10935,"Long delivery time, but worth the wait., not satisfied.",1
10936,"Product exceeded my expectations., will shop here again.",0
10937,"Received a damaged item, but got a full refund., will shop here again.",0
10938,"Received a different item than what I ordered., will shop here again.",0
10939,"Great product, fast shipping!, will shop here again.",0
10940,"Product did not match the description., definitely recommend.",0
10941,"The size is not as described., definitely recommend.",0
10942,"Very responsive customer support., definitely recommend.",0
10943,"Long delivery time, but worth the wait., will shop here again.",0
10944,"Received a damaged item, but got a full refund., will shop here again.",1
10945,"Received a damaged item, but got a full refund., not satisfied.",1
10946,"User-friendly website, easy to navigate and order., not satisfied.",1
10947,"Long delivery time, but worth the wait., not satisfied.",1
10948,"Great product, fast shipping!",1
10949,"Great product, fast shipping!, not satisfied.",0
10950,"Very responsive customer support., will shop here again.",0
10951,"Fantastic deal, very happy with my purchase., not satisfied.",1
10952,"Not worth the price., will shop here again.",1
10953,"Received a damaged item, but got a full refund.",0
10954,"Order arrived late, but the product is good., will shop here again.",1
10955,"Product works well, would buy again.",1
10956,"Not worth the price., will shop here again.",0
10957,"Not worth the price., definitely recommend.",1
10958,"Product did not match the description., definitely recommend.",1
10959,"Received a different item than what I ordered., will shop here again.",0
10960,"User-friendly website, easy to navigate and order.",0
10961,"Excellent quality, highly recommend this seller., will shop here again.",1
10962,"Long delivery time, but worth the wait.",0
10963,"Received a damaged item, but got a full refund., definitely recommend.",0
10964,"The size is not as described., will shop here again.",1
10965,"Product exceeded my expectations., definitely recommend.",1
10966,"Poor customer service, will not buy again., not satisfied.",0
10967,"The size is not as described., definitely recommend.",1
10968,"Received a damaged item, but got a full refund., will shop here again.",0
10969,"Received a different item than what I ordered., not satisfied.",0
10970,"The color is slightly different from the pictures., definitely recommend.",0
10971,"Fantastic deal, very happy with my purchase., definitely recommend.",0
10972,"Received a different item than what I ordered., not satisfied.",0
10973,"Received a different item than what I ordered., definitely recommend.",0
10974,"Order arrived late, but the product is good.",1
10975,"The package was lost in transit., definitely recommend.",0
10976,"The size is not as described., not satisfied.",0
10977,"Very responsive customer support., not satisfied.",0
10978,"Order arrived late, but the product is good.",1
10979,"Poor customer service, will not buy again., will shop here again.",0
10980,"Product works well, would buy again., not satisfied.",1
10981,"The size is not as described., will shop here again.",1
10982,"Poor customer service, will not buy again.",0
10983,"User-friendly website, easy to navigate and order., not satisfied.",0
10984,"Order arrived late, but the product is good., will shop here again.",0
10985,"Not worth the price., not satisfied.",1
10986,"Excellent quality, highly recommend this seller., not satisfied.",1
10987,"Received a damaged item, but got a full refund.",1
10988,"Product works well, would buy again., will shop here again.",1
10989,"Received a different item than what I ordered., will shop here again.",0
10990,"Excellent quality, highly recommend this seller.",1
10991,"Long delivery time, but worth the wait., not satisfied.",1
10992,"Great product, fast shipping!, definitely recommend.",0
10993,"Fast checkout process, user-friendly interface., not satisfied.",1
10994,"Product did not match the description., will shop here again.",0
10995,"The size is not as described., will shop here again.",0
10996,"Product did not match the description., will shop here again.",0
10997,"The size is not as described., not satisfied.",0
10998,"Received a different item than what I ordered., definitely recommend.",0
10999,"The size is not as described., not satisfied.",1
11000,"Fantastic deal, very happy with my purchase., not satisfied.",0
11001,"The size is not as described., definitely recommend.",1
11002,"Product works well, would buy again., will shop here again.",1
11003,"Excellent quality, highly recommend this seller., will shop here again.",1
11004,"Product exceeded my expectations., not satisfied.",1
11005,"Product works well, would buy again.",1
11006,The size is not as described.,1
11007,"Product works well, would buy again., definitely recommend.",1
11008,Not worth the price.,1
11009,"Received a different item than what I ordered., definitely recommend.",0
11010,"Not worth the price., will shop here again.",0
11011,"Product works well, would buy again., will shop here again.",0
11012,"Excellent quality, highly recommend this seller.",1
11013,"Poor customer service, will not buy again., not satisfied.",1
11014,"Received a different item than what I ordered., will shop here again.",0
11015,"Product exceeded my expectations., will shop here again.",1
11016,"Order arrived late, but the product is good.",1
11017,"Received a damaged item, but got a full refund., not satisfied.",1
11018,"The package was lost in transit., definitely recommend.",0
11019,"Poor customer service, will not buy again., not satisfied.",0
11020,"Poor customer service, will not buy again., not satisfied.",0
11021,"Fast checkout process, user-friendly interface., definitely recommend.",0
11022,"Product exceeded my expectations., definitely recommend.",0
11023,"Received a damaged item, but got a full refund., not satisfied.",0
11024,"The color is slightly different from the pictures., not satisfied.",1
11025,"Very responsive customer support., not satisfied.",0
11026,"User-friendly website, easy to navigate and order., will shop here again.",0
11027,"Product exceeded my expectations., will shop here again.",1
11028,"Order arrived late, but the product is good., will shop here again.",1
11029,"Product did not match the description., definitely recommend.",0
11030,"Product exceeded my expectations., not satisfied.",0
11031,"Poor customer service, will not buy again.",0
11032,"The size is not as described., not satisfied.",0
11033,"Long delivery time, but worth the wait., will shop here again.",0
11034,"Had issues with the payment gateway., will shop here again.",0
11035,"Fast checkout process, user-friendly interface., not satisfied.",0
11036,"Order arrived late, but the product is good.",0
11037,"Very responsive customer support., not satisfied.",1
11038,The color is slightly different from the pictures.,0
11039,"Poor customer service, will not buy again., not satisfied.",1
11040,"Long delivery time, but worth the wait., definitely recommend.",0
11041,"Order arrived late, but the product is good., definitely recommend.",0
11042,Very responsive customer support.,0
11043,"Excellent value for money., not satisfied.",1
11044,"Product did not match the description., will shop here again.",1
11045,"Excellent quality, highly recommend this seller.",1
11046,"Poor customer service, will not buy again.",1
11047,Not worth the price.,1
11048,"Excellent value for money., will shop here again.",0
11049,"Fantastic deal, very happy with my purchase., definitely recommend.",1
11050,"Excellent value for money., will shop here again.",0
11051,"User-friendly website, easy to navigate and order., not satisfied.",0
11052,"Had issues with the payment gateway., will shop here again.",0
11053,The size is not as described.,1
11054,"The package was lost in transit., not satisfied.",0
11055,"Excellent quality, highly recommend this seller., definitely recommend.",0
11056,"Received a different item than what I ordered., will shop here again.",0
11057,Received a different item than what I ordered.,1
11058,"Very responsive customer support., will shop here again.",1
11059,"Fast checkout process, user-friendly interface., definitely recommend.",0
11060,"The package was lost in transit., definitely recommend.",1
11061,Product exceeded my expectations.,0
11062,"Had issues with the payment gateway., not satisfied.",1
11063,The color is slightly different from the pictures.,1
11064,"Order arrived late, but the product is good., will shop here again.",1
11065,"Product works well, would buy again., definitely recommend.",1
11066,"Poor customer service, will not buy again., not satisfied.",0
11067,"Product exceeded my expectations., definitely recommend.",0
11068,"Excellent quality, highly recommend this seller., definitely recommend.",0
11069,"Great product, fast shipping!",0
11070,Had issues with the payment gateway.,1
11071,"Order arrived late, but the product is good., will shop here again.",1
11072,"User-friendly website, easy to navigate and order.",1
11073,"Product exceeded my expectations., not satisfied.",1
11074,The color is slightly different from the pictures.,0
11075,"Very responsive customer support., not satisfied.",0
11076,"Excellent quality, highly recommend this seller., will shop here again.",1
11077,"Product exceeded my expectations., definitely recommend.",1
11078,"The color is slightly different from the pictures., will shop here again.",0
11079,"Order arrived late, but the product is good., will shop here again.",1
11080,"Product works well, would buy again., will shop here again.",0
11081,"User-friendly website, easy to navigate and order., will shop here again.",1
11082,"Not worth the price., will shop here again.",1
11083,"Long delivery time, but worth the wait., definitely recommend.",1
11084,"Excellent value for money., definitely recommend.",0
11085,"Received a damaged item, but got a full refund.",1
11086,"Product exceeded my expectations., definitely recommend.",0
11087,"Excellent quality, highly recommend this seller., definitely recommend.",1
11088,"Order arrived late, but the product is good., definitely recommend.",0
11089,"Order arrived late, but the product is good., definitely recommend.",0
11090,"Product works well, would buy again., not satisfied.",1
11091,"Excellent quality, highly recommend this seller., will shop here again.",1
11092,"Long delivery time, but worth the wait., will shop here again.",0
11093,"The color is slightly different from the pictures., not satisfied.",1
11094,"Fantastic deal, very happy with my purchase., definitely recommend.",1
11095,"Fast checkout process, user-friendly interface., will shop here again.",1
11096,"The package was lost in transit., definitely recommend.",1
11097,"The color is slightly different from the pictures., will shop here again.",0
11098,Product exceeded my expectations.,1
11099,"Long delivery time, but worth the wait., definitely recommend.",1
11100,"Fast checkout process, user-friendly interface., not satisfied.",0
11101,"The size is not as described., definitely recommend.",1
11102,"Product works well, would buy again.",0
11103,"Not worth the price., will shop here again.",0
11104,"Received a different item than what I ordered., definitely recommend.",0
11105,Had issues with the payment gateway.,1
11106,"Had issues with the payment gateway., definitely recommend.",0
11107,"User-friendly website, easy to navigate and order., definitely recommend.",1
11108,Excellent value for money.,1
11109,"Fantastic deal, very happy with my purchase., not satisfied.",0
11110,"Great product, fast shipping!, definitely recommend.",0
11111,"Received a different item than what I ordered., not satisfied.",1
11112,"Poor customer service, will not buy again., definitely recommend.",0
11113,"Fantastic deal, very happy with my purchase., not satisfied.",0
11114,"Poor customer service, will not buy again., not satisfied.",0
11115,"Received a damaged item, but got a full refund., definitely recommend.",1
11116,"Excellent value for money., definitely recommend.",1
11117,"The color is slightly different from the pictures., definitely recommend.",0
11118,"Not worth the price., definitely recommend.",1
11119,"Had issues with the payment gateway., will shop here again.",1
11120,"Fantastic deal, very happy with my purchase.",1
11121,"Had issues with the payment gateway., will shop here again.",0
11122,"Long delivery time, but worth the wait., definitely recommend.",0
11123,"Great product, fast shipping!, will shop here again.",1
11124,"Excellent quality, highly recommend this seller., definitely recommend.",0
11125,The color is slightly different from the pictures.,0
11126,Product exceeded my expectations.,0
11127,"Long delivery time, but worth the wait., not satisfied.",0
11128,"Fast checkout process, user-friendly interface., not satisfied.",1
11129,"Very responsive customer support., will shop here again.",0
11130,"Product did not match the description., definitely recommend.",0
11131,"Order arrived late, but the product is good.",1
11132,"Great product, fast shipping!, will shop here again.",0
11133,"Product exceeded my expectations., definitely recommend.",1
11134,"Very responsive customer support., will shop here again.",1
11135,"Fantastic deal, very happy with my purchase., definitely recommend.",0
11136,"Poor customer service, will not buy again.",1
11137,"Poor customer service, will not buy again., will shop here again.",1
11138,"Product did not match the description., will shop here again.",0
11139,"Had issues with the payment gateway., definitely recommend.",0
11140,"User-friendly website, easy to navigate and order., will shop here again.",0
11141,"Order arrived late, but the product is good., definitely recommend.",1
11142,"Received a different item than what I ordered., definitely recommend.",1
11143,"Fast checkout process, user-friendly interface., will shop here again.",1
11144,"Received a different item than what I ordered., definitely recommend.",1
11145,"Received a damaged item, but got a full refund., will shop here again.",1
11146,The color is slightly different from the pictures.,0
11147,"Poor customer service, will not buy again., definitely recommend.",1
11148,"Received a different item than what I ordered., not satisfied.",1
11149,"Very responsive customer support., definitely recommend.",0
11150,Very responsive customer support.,0
11151,"User-friendly website, easy to navigate and order., not satisfied.",0
11152,"Long delivery time, but worth the wait., not satisfied.",0
11153,Product exceeded my expectations.,0
11154,"User-friendly website, easy to navigate and order., not satisfied.",1
11155,"Product works well, would buy again., definitely recommend.",0
11156,"Order arrived late, but the product is good., will shop here again.",1
11157,"Product works well, would buy again., definitely recommend.",0
11158,"The package was lost in transit., not satisfied.",1
11159,"The color is slightly different from the pictures., will shop here again.",1
11160,"Not worth the price., definitely recommend.",1
11161,Product exceeded my expectations.,0
614,"despite a story predictable enough to make the sound of music play like a nail-biting thriller , its heart is so much in the right place it is difficult to get really peeved at it . ",1
8855,"with rare birds , as with the shipping news before it , an attempt is made to transplant a hollywood star into newfoundland's wild soil -- and the rock once again resists the intrusion . ",0
6965,"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking . ",0
7319,"mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . ",0
160,"the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are . ",1
7725,"well-intentioned though it may be , its soap-opera morality tales have the antiseptic , preprogrammed feel of an after-school special . ",0
10038,a movie that the less charitable might describe as a castrated cross between highlander and lolita . ,0
6753,the latest adam sandler assault and possibly the worst film of the year . ,0
2999,"demonstrates the unusual power of thoughtful , subjective filmmaking . ",1
3707,"while bollywood/hollywood will undoubtedly provide its keenest pleasures to those familiar with bombay musicals , it also has plenty for those ( like me ) who aren't . ",1
1945,"the film is visually dazzling , the depicted events dramatic , funny and poignant . ",1
1223,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1
9766,"paul bettany is good at being the ultra-violent gangster wannabe , but the movie is certainly not number 1 . ",0
10186,"by the end , you just don't care whether that cold-hearted snake petrovich ( that would be reno ) gets his comeuppance . just bring on the battle bots , please ! ",0
6588,"ends up being mostly about ravishing costumes , eye-filling , wide-screen production design and joan's wacky decision to stand by her man , no matter how many times he demonstrates that he's a disloyal satyr . ",0
10321,"never again , while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction . ",0
6455,has a customarily jovial air but a deficit of flim-flam inventiveness . ,0
10202,"slap her - she's not funny ! no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half . ",0
10194,"for something as splendid-looking as this particular film , the viewer expects something special but instead gets [sci-fi] rehash . ",0
8627,impostor is a step down for director gary fleder . ,0
255,"the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun . ",1
3187,"as improbable as this premise may seem , abbass's understated , shining performance offers us the sense that on some elemental level , lilia deeply wants to break free of her old life . ",1
296,"legendary irish writer brendan behan's memoir , borstal boy , has been given a loving screen transferral . ",1
7470,"it's the kind of movie that ends up festooning u . s . art house screens for no reason other than the fact that it's in french ( well , mostly ) with english subtitles and is magically 'significant' because of that . ",0
1458,"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ",1
1680,"if you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy . ",1
7029,"it's not that kung pow isn't funny some of the time -- it just isn't any funnier than bad martial arts movies are all by themselves , without all oedekerk's impish augmentation . ",0
5723,woody allen can write and deliver a one liner as well as anybody . but i had a lot of problems with this movie . ,0
6066,possibly the most irresponsible picture ever released by a major film studio . ,0
9533,"on its icy face , the new film is a subzero version of monsters , inc . , without the latter's imagination , visual charm or texture . ",0
662,"for its seriousness , high literary aspirations and stunning acting , the film can only be applauded . ",1
8062,"never quite transcends jokester status . . . and the punchline doesn't live up to barry's dead-eyed , perfectly chilled delivery . ",0
369,"if you liked such movies as notting hill , four weddings and a funeral , bridget jones' diary or high fidelity , then you won't want to miss about a boy . ",1
10508, . . . a rather bland affair . ,0
6251,meanders between its powerful moments . ,0
7843,melanie eventually slugs the yankee . too bad the former murphy brown doesn't pop reese back . ,0
7565,could the whole plan here have been to produce something that makes fatal attraction look like a classic by comparison ? that's the only sane rationale i can think of for swimfan's existence . ,0
4393,"don't judge this one too soon - it's a dark , gritty story but it takes off in totally unexpected directions and keeps on going . ",1
2589,"one of the best films of the year with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes of tenderness , loss , discontent , and yearning . ",1
266,"an incendiary , deeply thought-provoking look at one of the most peculiar ( and peculiarly venomous ) bigotries in our increasingly frightening theocracy",1
2365,"a special kind of movie , this melancholic film noir reminded me a lot of memento . . . ",1
